Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13 00:00:00-05:00,1.6201283182409236,1.6933497726063989,1.6032957520223263,1.6916664838790894,76216000,0.0,0.0
2002-02-14 00:00:00-05:00,1.7127070992374456,1.716073516140932,1.6706258445167577,1.6832501888275146,11021600,0.0,0.0
2002-02-15 00:00:00-05:00,1.6832501767652153,1.6874582379962297,1.6580014883246355,1.67483389377594,8389600,0.0,0.0
2002-02-19 00:00:00-05:00,1.666417795821863,1.666417795821863,1.5780472159401218,1.60750412940979,7410400,0.0,0.0
2002-02-20 00:00:00-05:00,1.615920543900883,1.6622098684310913,1.6032960367314837,1.6622098684310913,6892800,0.0,0.0
2002-02-21 00:00:00-05:00,1.6563183724217407,1.6706260068380219,1.6411690935660002,1.6580016613006592,6976800,0.0,0.0
2002-02-22 00:00:00-05:00,1.6706259454888583,1.6706259454888583,1.6159203431510243,1.6285446882247925,3525600,0.0,0.0
2002-02-25 00:00:00-05:00,1.6243365036922721,1.6537934165628076,1.6058208078583192,1.6411690711975098,3453600,0.0,0.0
2002-02-26 00:00:00-05:00,1.6327527874448908,1.6580016387027474,1.606662452286307,1.6411690711975098,2761600,0.0,0.0
2002-02-27 00:00:00-05:00,1.6285445445438023,1.629386188878099,1.5990876349523886,1.6117119789123535,4091200,0.0,0.0
2002-02-28 00:00:00-05:00,1.6159204133335903,1.6369610428794585,1.60750412940979,1.60750412940979,2751200,0.0,0.0
2002-03-01 00:00:00-05:00,1.6032961365073395,1.6453774016180547,1.5974047850762052,1.6302282810211182,1913600,0.0,0.0
2002-03-04 00:00:00-05:00,1.6369610318959669,1.667259429080185,1.6344360985775892,1.6580016613006592,3180800,0.0,0.0
2002-03-05 00:00:00-05:00,1.649584941024345,1.653793001581107,1.612553398121401,1.6201280355453491,3444800,0.0,0.0
2002-03-06 00:00:00-05:00,1.619286760257976,1.6352776829659528,1.6159203431510243,1.6285446882247925,1316800,0.0,0.0
2002-03-07 00:00:00-05:00,1.6285446237002636,1.7337477626921767,1.6285446237002636,1.718598484992981,2700800,0.0,0.0
2002-03-08 00:00:00-05:00,1.7084987152684814,1.7674125304959043,1.7084987152684814,1.7589962482452393,1600800,0.0,0.0
2002-03-11 00:00:00-05:00,1.750579965281384,1.8010774982375692,1.746371904421382,1.7817201614379883,5462400,0.0,0.0
2002-03-12 00:00:00-05:00,1.7674131589596889,1.8431594050953606,1.7674131589596889,1.7842457294464111,5819200,0.0,0.0
